cluster,annotation_type,gene
1,Binding site,AKT3
2,binds to TCL1A,AKT3
3,binds to CDC37,AKT3
4,binds to PRKCZ,AKT3
5,binds to PDPK1,AKT3
0,PTM - Phosphoserine,AKTIP
1,PTM - Phosphoserine,AKTIP
2,PTM - Phosphoserine,AKTIP
3,PTM - Phosphoserine,AKTIP
4,PTM - Phosphoserine,AKTIP
5,PTM - Phosphoserine,AKTIP
0,Active site,ALAD
1,Active site,ALAD
2,Active site,ALAD
3,Active site,ALAD
4,Active site,ALAD
5,Active site,ALAD
0,Active site,ALAS1
1,binds to DUSP19,ALAS1
2,binds to CDK5,ALAS1
3,binds to C2orf42,ALAS1
4,Active site,ALAS1
5,binds to C2orf42,ALAS1
0,binds to BANP,ALAS2
1,binds to BANP,ALAS2
2,binds to GRB2,ALAS2
3,binds to BANP,ALAS2
4,binds to BANP,ALAS2
5,binds to BANP,ALAS2
0,binds to LAMTOR5,ALB
1,binds to FCGRT,ALB
2,binds to ACADVL,ALB
3,binds to IMMT,ALB
0,binds to ART3,ALCAM
3,binds to ART3,ALCAM
0,Binding site,ALDH18A1
1,binds to AGTRAP,ALDH18A1
2,binds to MTHFD1,ALDH18A1
3,binds to AGTRAP,ALDH18A1
4,PTM - N6-succinyllysine,ALDH18A1
5,binds to MTHFD1,ALDH18A1
0,binds to NUPR1,ALDH1A1
1,Binding site,ALDH1A1
2,binds to POT1,ALDH1A1
3,PTM - N-acetylserine,ALDH1A1
4,binds to ALDH2,ALDH1A1
5,Active site,ALDH1A1
0,Binding site,ALDH1A2
1,Active site,ALDH1A2
2,PTM - Phosphotyrosine,ALDH1A2
3,Active site,ALDH1A2
4,binds to UBE2D4,ALDH1A2
5,Binding site,ALDH1A2
0,PTM - N-acetylalanine,ALDH1A3
1,Active site,ALDH1A3
2,Binding site,ALDH1A3
3,Active site,ALDH1A3
4,Active site,ALDH1A3
5,Active site,ALDH1A3
0,binds to EXOSC10,ALDH1B1
1,Binding site,ALDH1B1
2,PTM - N6-acetyllysine,ALDH1B1
3,binds to RPL6,ALDH1B1
4,binds to EXOSC10,ALDH1B1
5,binds to HEXB,ALDH1B1
0,Active site,ALDH1L1
1,Active site,ALDH1L1
2,PTM - Phosphoserine,ALDH1L1
3,Active site,ALDH1L1
4,Active site,ALDH1L1
5,Binding site,ALDH1L1
2,Active site,ALDH1L2
0,binds to CRMP1,ALDH2
1,binds to DENND10,ALDH2
2,Binding site,ALDH2
3,binds to CRMP1,ALDH2
0,binds to POT1,ALDH3A1
1,binds to FBXL12,ALDH3A1
2,Binding site,ALDH3A1
3,binds to POT1,ALDH3A1
4,binds to POT1,ALDH3A1
5,binds to POT1,ALDH3A1
0,binds to MTCH2,ALDH3A2
1,Binding site,ALDH3A2
2,Active site,ALDH3A2
3,binds to MTCH2,ALDH3A2
4,PTM - Phosphoserine,ALDH3A2
5,binds to ATP6V1C1,ALDH3A2
0,binds to NOTCH2NLA,ALDH3B1
1,binds to KRT31,ALDH3B1
2,binds to KRTAP4-2,ALDH3B1
3,binds to KRT31,ALDH3B1
4,binds to KRT31,ALDH3B1
5,binds to HSD17B10,ALDH3B1
0,Active site,ALDH3B2
1,Binding site,ALDH3B2
3,Binding site,ALDH3B2
4,Binding site,ALDH3B2
5,Active site,ALDH3B2
0,binds to ALDH6A1,ALDH4A1
1,binds to AHCY,ALDH4A1
2,binds to ENO1,ALDH4A1
3,binds to LDHAL6A,ALDH4A1
4,binds to CFL2,ALDH4A1
5,binds to ENO1,ALDH4A1
0,Active site,ALDH5A1
1,binds to FH,ALDH5A1
2,binds to ALDH8A1,ALDH5A1
3,Binding site,ALDH5A1
4,binds to ALDH1B1,ALDH5A1
5,Active site,ALDH5A1
0,binds to HSPE1,ALDH6A1
1,binds to ALDH4A1,ALDH6A1
2,binds to HIBADH,ALDH6A1
3,binds to LMO2,ALDH6A1
4,Active site,ALDH6A1
5,binds to PITPNB,ALDH6A1
0,Active site,ALDH7A1
1,binds to FERMT2,ALDH7A1
2,binds to TBCB,ALDH7A1
3,binds to STK24,ALDH7A1
4,Active site,ALDH7A1
5,PTM - N6-acetyllysine; alternate,ALDH7A1
0,binds to ALDH5A1,ALDH8A1
1,Binding site,ALDH8A1
2,PTM - Phosphoserine,ALDH8A1
3,Active site,ALDH8A1
4,binds to DPP3,ALDH8A1
5,binds to ESD,ALDH8A1
0,binds to ACAT2,ALDH9A1
1,Binding site,ALDH9A1
2,binds to CIAPIN1,ALDH9A1
3,Active site,ALDH9A1
4,binds to BRCA1,ALDH9A1
5,binds to BRCA1,ALDH9A1
0,binds to EGFR,ALDOA
1,Active site,ALDOA
2,binds to ALDOB,ALDOA
3,binds to GALNT6,ALDOA
4,Active site,ALDOA
5,Binding site,ALDOA
0,binds to STK11,ALDOB
1,Binding site,ALDOB
2,binds to ALDOA,ALDOB
3,binds to ALDOA,ALDOB
4,binds to BBS4,ALDOB
0,binds to CKMT1A,ALDOC
1,binds to CDK2,ALDOC
2,binds to DUT,ALDOC
3,binds to ALDOA,ALDOC
4,binds to HCFC1,ALDOC
5,Binding site,ALDOC
0,Active site,ALG13
1,Active site,ALG13
2,Active site,ALG13
3,Active site,ALG13
4,Active site,ALG13
5,Active site,ALG13
0,PTM - Phosphoserine,ALG1
1,PTM - Phosphoserine,ALG1
2,PTM - Phosphoserine,ALG1
3,PTM - Phosphoserine,ALG1
4,PTM - Phosphoserine,ALG1
5,PTM - Phosphoserine,ALG1
0,PTM - Phosphoserine,ALG3
1,PTM - Phosphoserine,ALG3
2,PTM - Phosphoserine,ALG3
3,PTM - Phosphoserine,ALG3
0,Sensor for electrophilic agents,ALG9
1,Sensor for electrophilic agents,ALG9
2,Sensor for electrophilic agents,ALG9
3,Sensor for electrophilic agents,ALG9
4,Sensor for electrophilic agents,ALG9
5,Sensor for electrophilic agents,ALG9
0,Binding site,ALKBH1
1,Binding site,ALKBH1
2,Binding site,ALKBH1
3,Binding site,ALKBH1
4,Binding site,ALKBH1
5,Binding site,ALKBH1
0,binds to DHX16,ALKBH2
1,binds to DHX16,ALKBH2
2,binds to DHX16,ALKBH2
3,Binding site,ALKBH2
4,Binding site,ALKBH2
5,binds to GTF2B,ALKBH2
0,Binding site,ALKBH3
1,binds to GOLGA2,ALKBH3
2,PTM - (4R)-5-hydroxyleucine; alternate,ALKBH3
3,binds to GOLGA2,ALKBH3
4,binds to AK8,ALKBH3
5,PTM - (4R)-5-hydroxyleucine; alternate,ALKBH3
0,PTM - N-acetylalanine,ALKBH4
1,Binding site,ALKBH4
2,Binding site,ALKBH4
3,Binding site,ALKBH4
4,Binding site,ALKBH4
5,Binding site,ALKBH4
0,binds to CSNK2A1,ALKBH5
1,Active site,ALKBH5
2,binds to CSNK2A1,ALKBH5
3,binds to CSNK2A1,ALKBH5
4,binds to CSNK2A1,ALKBH5
5,binds to CSNK2A1,ALKBH5
0,Binding site,ALKBH6
1,Binding site,ALKBH6
2,Binding site,ALKBH6
3,Binding site,ALKBH6
0,Binding site,ALKBH7
1,Binding site,ALKBH7
3,Binding site,ALKBH7
4,Binding site,ALKBH7
0,Binding site,ALKBH8
1,binds to TRMT112,ALKBH8
2,Binding site,ALKBH8
3,Binding site,ALKBH8
4,Binding site,ALKBH8
5,binds to TRMT112,ALKBH8
0,binds to HSP90AB1,ALK
1,Active site,ALK
2,binds to FRS3,ALK
3,binds to FRS3,ALK
4,binds to HSP90AB1,ALK
5,binds to HSP90AB1,ALK
0,PTM - Phosphoserine,ALMS1
1,PTM - Phosphoserine,ALMS1
2,PTM - Phosphoserine,ALMS1
3,PTM - Phosphoserine,ALMS1
0,binds to KRT5,ALOX12B
1,Binding site,ALOX12B
2,binds to KRT5,ALOX12B
3,Binding site,ALOX12B
4,binds to KRT5,ALOX12B
5,Binding site,ALOX12B
0,binds to ITGB4,ALOX12
1,binds to ITGB4,ALOX12
2,binds to ITGB4,ALOX12
3,binds to TRIB1,ALOX12
4,binds to PLA2G2A,ALOX12
5,binds to ITGB4,ALOX12
0,binds to RXRA,ALOX15B
1,binds to ERAL1,ALOX15B
2,binds to RXRA,ALOX15B
3,binds to RXRA,ALOX15B
4,Binding site,ALOX15B
5,binds to PPARG,ALOX15B
0,Binding site,ALOX15
1,Binding site,ALOX15
2,Binding site,ALOX15
3,Binding site,ALOX15
4,Binding site,ALOX15
5,Binding site,ALOX15
0,binds to CLIC1,ALOX5AP
1,binds to CLIC1,ALOX5AP
2,binds to CLIC1,ALOX5AP
3,binds to CLIC1,ALOX5AP
4,binds to CLIC1,ALOX5AP
5,binds to CLIC1,ALOX5AP
0,binds to CEP57L1,ALOX5
1,binds to GRB2,ALOX5
2,PTM - Phosphoserine; by MAPKAPK2,ALOX5
3,PTM - Phosphoserine; by MAPKAPK2,ALOX5
4,binds to CEP57L1,ALOX5
5,Binding site,ALOX5
0,Binding site,ALOXE3
1,Binding site,ALOXE3
2,Binding site,ALOXE3
3,Binding site,ALOXE3
4,Binding site,ALOXE3
5,Binding site,ALOXE3
0,binds to KRTAP10-3,ALPI
0,Binding site,ALPK1
1,Binding site,ALPK1
2,Binding site,ALPK1
3,Binding site,ALPK1
4,Binding site,ALPK1
5,Binding site,ALPK1
0,PTM - Phosphoserine,ALPK3
1,PTM - Phosphoserine,ALPK3
2,PTM - Phosphoserine,ALPK3
3,PTM - Phosphoserine,ALPK3
4,PTM - Phosphoserine,ALPK3
5,PTM - Phosphoserine,ALPK3
0,binds to EEF1A1,ALPL
1,binds to EEF1A1,ALPL
2,binds to EEF1A1,ALPL
3,binds to EEF1A1,ALPL
4,Active site,ALPL
5,binds to MAP3K14,ALPL
0,binds to KRTAP10-3,ALPP
1,binds to A2M,ALPP
2,Binding site,ALPP
4,binds to A2M,ALPP
0,PTM - Phosphoserine,ALS2
1,PTM - Phosphoserine,ALS2
2,PTM - Phosphoserine,ALS2
3,PTM - Phosphoserine,ALS2
4,PTM - Phosphoserine,ALS2
5,PTM - Phosphoserine,ALS2
0,DNA binding,ALX1
1,DNA binding,ALX1
2,DNA binding,ALX1
3,DNA binding,ALX1
4,DNA binding,ALX1
5,DNA binding,ALX1
0,DNA binding,ALX3
1,DNA binding,ALX3
2,DNA binding,ALX3
3,DNA binding,ALX3
4,DNA binding,ALX3
5,DNA binding,ALX3
0,binds to HOXB6,ALX4
1,DNA binding,ALX4
2,PTM - Phosphoserine,ALX4
3,binds to CEBPE,ALX4
0,PTM - N-acetylalanine,ALYREF
1,binds to ATP6V1E1,ALYREF
2,PTM - N-acetylalanine,ALYREF
3,PTM - N-acetylalanine,ALYREF
4,binds to UBE2I,ALYREF
5,PTM - N-acetylalanine,ALYREF
0,Active site,AMACR
1,PTM - N6-acetyllysine,AMACR
2,Active site,AMACR
3,Binding site,AMACR
4,Active site,AMACR
5,Active site,AMACR
1,PTM - Hydroxyproline,AMBN
3,PTM - Hydroxyproline,AMBN
4,PTM - Hydroxyproline,AMBN
5,PTM - Hydroxyproline,AMBN
1,binds to A2M,AMBP
3,binds to CTSB,AMBP
0,PTM - Phosphoserine; by MTOR,AMBRA1
1,PTM - Phosphoserine; by MTOR,AMBRA1
2,PTM - Phosphoserine; by MTOR,AMBRA1
3,Sensor for electrophilic agents,AMBRA1
4,PTM - Phosphoserine; by MTOR,AMBRA1
5,PTM - Phosphoserine; by MTOR,AMBRA1
0,Active site,AMD1
1,binds to HSPB1,AMD1
2,binds to HSPB1,AMD1
3,binds to HSPB1,AMD1
4,binds to HSPB1,AMD1
5,Active site,AMD1
0,Binding site,AMDHD1
1,Binding site,AMDHD1
2,Binding site,AMDHD1
3,Binding site,AMDHD1
4,binds to GDA,AMDHD1
5,Binding site,AMDHD1
0,Active site,AMDHD2
1,binds to GNPDA2,AMDHD2
2,binds to TRIP13,AMDHD2
3,Active site,AMDHD2
4,binds to GNPDA1,AMDHD2
0,PTM - Phosphoserine,AMELX
2,PTM - Phosphoserine,AMELX
4,PTM - Phosphoserine,AMELX
5,PTM - Phosphoserine,AMELX
0,PTM - N-acetylmethionine,AMER1
1,PTM - N-acetylmethionine,AMER1
2,PTM - N-acetylmethionine,AMER1
3,PTM - N-acetylmethionine,AMER1
4,PTM - N-acetylmethionine,AMER1
5,PTM - N-acetylmethionine,AMER1
0,PTM - Phosphoserine,AMER2
1,PTM - Phosphoserine,AMER2
2,PTM - Phosphoserine,AMER2
3,PTM - Phosphoserine,AMER2
4,PTM - Phosphoserine,AMER2
5,PTM - Phosphoserine,AMER2
0,binds to CRMP1,AMFR
1,binds to VCP,AMFR
2,binds to UBE2G1,AMFR
3,binds to UBE2T,AMFR
4,PTM - Phosphoserine,AMFR
5,binds to CRMP1,AMFR
0,binds to HSP90AA1,AMHR2
1,binds to HSP90AA1,AMHR2
2,binds to HSP90AA1,AMHR2
3,binds to HSP90AA1,AMHR2
0,PTM - Phosphoserine,AMIGO1
1,PTM - Phosphoserine,AMIGO1
4,PTM - Phosphoserine,AMIGO1
1,binds to CACNA1A,AMIGO2
2,binds to CACNA1A,AMIGO2
0,PTM - Phosphoserine,AMMECR1L
1,PTM - Phosphoserine,AMMECR1L
2,PTM - Phosphoserine,AMMECR1L
3,PTM - Phosphoserine,AMMECR1L
4,PTM - Phosphoserine,AMMECR1L
5,PTM - Phosphoserine,AMMECR1L
0,PTM - Phosphoserine,AMMECR1
1,PTM - Phosphoserine,AMMECR1
2,PTM - Phosphoserine,AMMECR1
3,PTM - Phosphoserine,AMMECR1
4,PTM - Phosphoserine,AMMECR1
5,PTM - Phosphoserine,AMMECR1
0,PTM - Phosphoserine,AMOTL1
1,PTM - Phosphoserine,AMOTL1
2,PTM - Phosphoserine,AMOTL1
3,PTM - Phosphoserine,AMOTL1
4,PTM - Phosphoserine,AMOTL1
5,PTM - Phosphoserine,AMOTL1
0,PTM - Phosphotyrosine; by FGFR1,AMOTL2
1,PTM - Phosphotyrosine; by FGFR1,AMOTL2
2,PTM - Phosphotyrosine; by FGFR1,AMOTL2
3,PTM - Phosphotyrosine; by FGFR1,AMOTL2
0,PTM - Phosphoserine,AMOT
1,PTM - Phosphoserine,AMOT
2,PTM - Phosphoserine,AMOT
3,PTM - Phosphoserine,AMOT
4,binds to C1orf216,AMOT
5,PTM - Phosphoserine,AMOT
0,binds to C1QTNF9,AMPD1
1,binds to C1QTNF9,AMPD1
2,binds to C1QTNF9,AMPD1
3,binds to C1QTNF9,AMPD1
4,binds to C1QTNF9,AMPD1
5,binds to C1QTNF9,AMPD1
0,binds to CCNDBP1,AMPD2
1,binds to CSNK2B,AMPD2
2,binds to CCNDBP1,AMPD2
3,binds to INPPL1,AMPD2
4,binds to CSNK2B,AMPD2
5,binds to INPPL1,AMPD2
0,Active site,AMPD3
1,Binding site,AMPD3
2,Active site,AMPD3
3,Active site,AMPD3
4,PTM - Phosphoserine,AMPD3
5,Active site,AMPD3
0,binds to ARL16,AMPH
1,binds to ARL16,AMPH
2,binds to TXNL4B,AMPH
3,binds to ARL16,AMPH
4,binds to FBP1,AMPH
0,Binding site,AMT
1,binds to PSMA2,AMT
2,Binding site,AMT
4,binds to PSMA2,AMT
0,Binding site,AMY1A
1,Active site,AMY1A
0,Active site,AMY1B
2,Sensor for electrophilic agents,AMY1B
3,Active site,AMY1B
4,Active site,AMY1B
5,Active site,AMY1B
0,Active site,AMY1C
1,Active site,AMY1C
3,Active site,AMY1C
4,Binding site,AMY1C
5,Active site,AMY1C
0,binds to IGF1R,AMY2A
1,binds to IGF1R,AMY2A
2,binds to IGF1R,AMY2A
3,binds to IGF1R,AMY2A
4,binds to IGF1R,AMY2A
5,binds to IGF1R,AMY2A
0,binds to FOS,AMY2B
1,binds to FOS,AMY2B
2,binds to FOS,AMY2B
3,binds to FOS,AMY2B
4,Active site,AMY2B
5,binds to FOS,AMY2B
0,Active site,AMZ1
1,Active site,AMZ1
2,Active site,AMZ1
3,Active site,AMZ1
4,Active site,AMZ1
0,Active site,AMZ2
1,Active site,AMZ2
2,Active site,AMZ2
3,Active site,AMZ2
4,Active site,AMZ2
5,Active site,AMZ2
0,binds to ANAPC2,ANAPC10
1,binds to ANAPC1,ANAPC10
2,binds to LRP1,ANAPC10
3,binds to ANAPC1,ANAPC10
4,binds to ANAPC4,ANAPC10
5,binds to ANAPC16,ANAPC10
0,binds to CCNB1,ANAPC11
1,binds to ZAP70,ANAPC11
2,binds to CDC16,ANAPC11
3,Binding site,ANAPC11
4,binds to UBB,ANAPC11
5,binds to CAPN11,ANAPC11
0,binds to TAF4,ANAPC13
1,binds to ANAPC5,ANAPC13
2,binds to ANAPC5,ANAPC13
3,binds to ANAPC4,ANAPC13
4,binds to TAF4,ANAPC13
5,binds to ANAPC7,ANAPC13
0,binds to ANAPC4,ANAPC15
1,binds to ANAPC4,ANAPC15
2,binds to ANAPC4,ANAPC15
3,binds to ANAPC4,ANAPC15
4,binds to ANAPC4,ANAPC15
5,binds to ANAPC4,ANAPC15
0,binds to ANAPC1,ANAPC16
1,PTM - N-acetylalanine,ANAPC16
2,binds to CDC27,ANAPC16
3,PTM - N-acetylalanine,ANAPC16
4,binds to ANAPC4,ANAPC16
5,binds to ANAPC1,ANAPC16
0,binds to ANAPC2,ANAPC1
1,PTM - Phosphoserine,ANAPC1
2,binds to ANAPC2,ANAPC1
3,binds to CCNB1,ANAPC1
4,binds to CCNB1,ANAPC1
5,binds to ANAPC2,ANAPC1
0,binds to CCNB1,ANAPC2
1,binds to ANAPC10,ANAPC2
2,binds to ANAPC10,ANAPC2
3,binds to CCNB1,ANAPC2
4,binds to PTTG1,ANAPC2
5,binds to ANAPC1,ANAPC2
0,binds to ANAPC1,ANAPC4
1,binds to ANAPC1,ANAPC4
2,binds to ANAPC1,ANAPC4
3,binds to ANAPC1,ANAPC4
4,binds to ANAPC1,ANAPC4
5,binds to ANAPC10,ANAPC4
0,binds to ANAPC1,ANAPC5
1,binds to GTF2E1,ANAPC5
2,binds to ANAPC1,ANAPC5
3,binds to ANAPC13,ANAPC5
4,binds to CCNB1,ANAPC5
5,binds to ANAPC1,ANAPC5
0,binds to ANAPC1,ANAPC7
1,binds to CDC23,ANAPC7
2,binds to NCL,ANAPC7
0,PTM - Phosphoserine,ANGEL1
1,PTM - Phosphoserine,ANGEL1
2,PTM - Phosphoserine,ANGEL1
3,PTM - Phosphoserine,ANGEL1
4,PTM - Phosphoserine,ANGEL1
5,PTM - Phosphoserine,ANGEL1
1,binds to TEK,ANGPT1
2,binds to MAPK8IP2,ANGPT1
3,binds to MAPK8IP2,ANGPT1
5,binds to TEK,ANGPT1
0,binds to TEK,ANGPT2
1,Binding site,ANGPT2
5,binds to TEK,ANGPT2
1,binds to LPL,ANGPTL4
2,binds to ITGB1,ANGPTL4
0,binds to LILRB2,ANGPTL5
2,binds to LILRB2,ANGPTL5
5,binds to LILRB2,ANGPTL5
0,binds to S100A10,ANG
1,binds to ATP6AP1,ANG
2,binds to ACTN2,ANG
3,binds to RNH1,ANG
4,Active site,ANG
5,binds to ACTN2,ANG
0,DNA binding,ANHX
1,DNA binding,ANHX
2,DNA binding,ANHX
3,DNA binding,ANHX
4,DNA binding,ANHX
5,DNA binding,ANHX
0,binds to HSPB1,ANK1
1,binds to CD44,ANK1
2,binds to CD44,ANK1
3,binds to HSPB1,ANK1
4,binds to SPTB,ANK1
5,binds to CD44,ANK1
0,PTM - Phosphoserine,ANK2
1,PTM - Phosphoserine,ANK2
2,PTM - Phosphoserine,ANK2
3,binds to DNAJB5,ANK2
4,binds to ANKRD28,ANK2
5,binds to DNAJB5,ANK2
0,PTM - Phosphoserine,ANK3
1,PTM - Phosphoserine,ANK3
2,binds to AP3B1,ANK3
3,binds to MAPK6,ANK3
4,PTM - Phosphoserine,ANK3
5,PTM - Phosphoserine,ANK3
0,PTM - N-acetylalanine,ANKFY1
1,binds to ANKRD28,ANKFY1
2,PTM - N-acetylalanine,ANKFY1
3,PTM - N-acetylalanine,ANKFY1
4,binds to ANKRD28,ANKFY1
5,PTM - N-acetylalanine,ANKFY1
0,binds to NFKBIE,ANKHD1
1,binds to NFKBIE,ANKHD1
2,PTM - N-acetylmethionine,ANKHD1
3,binds to NFKBIE,ANKHD1
4,binds to NFKBIE,ANKHD1
5,binds to NFKBIE,ANKHD1
0,Active site,ANKIB1
1,Active site,ANKIB1
2,Active site,ANKIB1
3,PTM - Phosphoserine,ANKIB1
4,Active site,ANKIB1
5,Binding site,ANKIB1
0,Binding site,ANKK1
1,Active site,ANKK1
2,Active site,ANKK1
3,Active site,ANKK1
4,Active site,ANKK1
0,PTM - Phosphoserine,ANKLE2
1,PTM - Phosphoserine,ANKLE2
2,PTM - Phosphoserine,ANKLE2
3,PTM - Phosphoserine,ANKLE2
4,PTM - Phosphoserine,ANKLE2
5,PTM - Phosphoserine,ANKLE2
0,Binding site,ANKMY1
1,Binding site,ANKMY1
2,Binding site,ANKMY1
3,Binding site,ANKMY1
4,Binding site,ANKMY1
0,Binding site,ANKMY2
1,Binding site,ANKMY2
2,Binding site,ANKMY2
3,Binding site,ANKMY2
4,Binding site,ANKMY2
5,Binding site,ANKMY2
0,binds to HDAC4,ANKRA2
1,binds to CCDC8,ANKRA2
2,binds to CCDC8,ANKRA2
3,binds to HDAC4,ANKRA2
4,binds to RFX7,ANKRA2
5,binds to CCDC8,ANKRA2
0,PTM - Phosphoserine,ANKRD11
1,PTM - Phosphoserine,ANKRD11
2,PTM - Phosphoserine,ANKRD11
3,PTM - Phosphoserine,ANKRD11
4,PTM - Phosphoserine,ANKRD11
5,PTM - Phosphoserine,ANKRD11
0,PTM - Phosphoserine,ANKRD12
1,PTM - Phosphoserine,ANKRD12
2,PTM - Phosphoserine,ANKRD12
3,PTM - Phosphoserine,ANKRD12
4,PTM - Phosphoserine,ANKRD12
5,PTM - Phosphoserine,ANKRD12
0,PTM - Phosphoserine,ANKRD13A
1,PTM - Phosphoserine,ANKRD13A
2,PTM - Phosphoserine,ANKRD13A
3,PTM - Phosphoserine,ANKRD13A
4,PTM - Phosphoserine,ANKRD13A
5,PTM - Phosphoserine,ANKRD13A
0,PTM - N-acetylmethionine,ANKRD13B
1,PTM - N-acetylmethionine,ANKRD13B
2,PTM - N-acetylmethionine,ANKRD13B
3,PTM - N-acetylmethionine,ANKRD13B
4,PTM - N-acetylmethionine,ANKRD13B
5,PTM - N-acetylmethionine,ANKRD13B
0,PTM - Phosphoserine,ANKRD13C
1,PTM - Phosphoserine,ANKRD13C
2,PTM - Phosphoserine,ANKRD13C
3,PTM - Phosphoserine,ANKRD13C
4,PTM - Phosphoserine,ANKRD13C
5,PTM - Phosphoserine,ANKRD13C
0,Sensor for electrophilic agents,ANKRD16
1,Sensor for electrophilic agents,ANKRD16
2,Sensor for electrophilic agents,ANKRD16
3,Sensor for electrophilic agents,ANKRD16
4,Sensor for electrophilic agents,ANKRD16
5,Sensor for electrophilic agents,ANKRD16
0,PTM - N-acetylmethionine,ANKRD17
1,PTM - N-acetylmethionine,ANKRD17
2,PTM - N-acetylmethionine,ANKRD17
3,PTM - N-acetylmethionine,ANKRD17
4,PTM - N-acetylmethionine,ANKRD17
5,PTM - N-acetylmethionine,ANKRD17
0,binds to ANKRD28,ANKRD26
1,binds to ANKRD28,ANKRD26
2,binds to ANKRD28,ANKRD26
3,PTM - Phosphoserine,ANKRD26
4,binds to ANKRD28,ANKRD26
0,binds to GOLGA4,ANKRD27
1,PTM - Phosphoserine,ANKRD27
2,PTM - Phosphoserine,ANKRD27
3,PTM - Phosphoserine,ANKRD27
4,binds to SMAD1,ANKRD27
5,binds to GOLGA4,ANKRD27
0,binds to ANKRD26,ANKRD28
1,binds to ANK2,ANKRD28
2,PTM - Phosphoserine,ANKRD28
3,PTM - Phosphoserine,ANKRD28
4,binds to TNKS2,ANKRD28
5,binds to ANKRD26,ANKRD28
0,binds to FCMR,ANKRD2
1,PTM - Phosphoserine; by PKB/AKT2,ANKRD2
2,binds to FCMR,ANKRD2
3,PTM - Phosphoserine; by PKB/AKT2,ANKRD2
4,binds to FCMR,ANKRD2
5,PTM - Phosphoserine; by PKB/AKT2,ANKRD2
0,PTM - Phosphoserine,ANKRD33B
1,PTM - Phosphoserine,ANKRD33B
2,PTM - Phosphoserine,ANKRD33B
3,PTM - Phosphoserine,ANKRD33B
4,PTM - Phosphoserine,ANKRD33B
5,PTM - Phosphoserine,ANKRD33B
0,PTM - N5-methylglutamine,ANKRD34A
1,PTM - N5-methylglutamine,ANKRD34A
2,PTM - N5-methylglutamine,ANKRD34A
3,PTM - N5-methylglutamine,ANKRD34A
4,PTM - N5-methylglutamine,ANKRD34A
5,PTM - N5-methylglutamine,ANKRD34A
0,PTM - Phosphoserine,ANKRD34B
1,PTM - Phosphoserine,ANKRD34B
2,PTM - Phosphoserine,ANKRD34B
3,PTM - Phosphoserine,ANKRD34B
4,PTM - Phosphoserine,ANKRD34B
5,PTM - Phosphoserine,ANKRD34B
0,PTM - Phosphoserine,ANKRD34C
1,PTM - Phosphoserine,ANKRD34C
2,PTM - Phosphoserine,ANKRD34C
3,PTM - Phosphoserine,ANKRD34C
4,PTM - Phosphoserine,ANKRD34C
5,PTM - Phosphoserine,ANKRD34C
0,PTM - Phosphoserine,ANKRD36C
1,PTM - Phosphoserine,ANKRD36C
2,PTM - Phosphoserine,ANKRD36C
3,PTM - Phosphoserine,ANKRD36C
4,PTM - Phosphoserine,ANKRD36C
5,PTM - Phosphoserine,ANKRD36C
0,PTM - Phosphoserine,ANKRD39
1,PTM - Phosphoserine,ANKRD39
2,PTM - Phosphoserine,ANKRD39
3,PTM - Phosphoserine,ANKRD39
4,PTM - Phosphoserine,ANKRD39
5,PTM - Phosphoserine,ANKRD39
0,PTM - N-acetylmethionine,ANKRD40
1,PTM - N-acetylmethionine,ANKRD40
2,PTM - N-acetylmethionine,ANKRD40
3,PTM - N-acetylmethionine,ANKRD40
4,PTM - N-acetylmethionine,ANKRD40
5,PTM - N-acetylmethionine,ANKRD40
0,binds to HIF1AN,ANKRD49
1,binds to FKBPL,ANKRD49
2,PTM - Phosphoserine,ANKRD49
3,binds to FKBPL,ANKRD49
4,PTM - Phosphoserine,ANKRD49
5,binds to FKBPL,ANKRD49
0,binds to ZDHHC17,ANKRD50
1,PTM - Phosphoserine,ANKRD50
2,binds to ANKRD28,ANKRD50
3,binds to ZDHHC17,ANKRD50
4,binds to ANKRD28,ANKRD50
5,PTM - Phosphoserine,ANKRD50
0,PTM - Phosphoserine,ANKRD52
1,PTM - Phosphoserine,ANKRD52
2,PTM - Phosphoserine,ANKRD52
3,PTM - Phosphoserine,ANKRD52
4,PTM - Phosphoserine,ANKRD52
5,PTM - Phosphoserine,ANKRD52
0,binds to TULP3,ANKRD54
1,binds to TULP3,ANKRD54
2,binds to TULP3,ANKRD54
3,PTM - N-acetylalanine,ANKRD54
4,binds to TULP3,ANKRD54
5,binds to TULP3,ANKRD54
0,PTM - Phosphoserine,ANKRD55
1,PTM - Phosphoserine,ANKRD55
2,PTM - Phosphoserine,ANKRD55
3,PTM - Phosphoserine,ANKRD55
4,PTM - Phosphoserine,ANKRD55
5,PTM - Phosphoserine,ANKRD55
0,PTM - Phosphoserine,ANKRD63
1,PTM - Phosphoserine,ANKRD63
2,PTM - Phosphoserine,ANKRD63
3,PTM - Phosphoserine,ANKRD63
4,PTM - Phosphoserine,ANKRD63
5,PTM - Phosphoserine,ANKRD63
0,PTM - N-acetylglycine,ANKS1A
1,binds to ADGRL1,ANKS1A
2,PTM - N-acetylglycine,ANKS1A
3,binds to EGFR,ANKS1A
4,binds to ADGRL1,ANKS1A
5,binds to EGFR,ANKS1A
0,binds to HTR2A,ANKS1B
1,binds to ERBB4,ANKS1B
2,binds to HTR2A,ANKS1B
3,binds to EGFR,ANKS1B
4,binds to HTR2A,ANKS1B
